source,subject,seed,vel_mag,n_train,val_acc,test_acc,test_bci
surrogate,S07,0,0.01,1600,0.6212,0.5000,0.5000
surrogate,S07,0,0.02,1600,0.5909,0.4737,0.5000
surrogate,S07,0,0.035,1600,0.5606,0.5175,0.5000
surrogate,S07,1,0.005,1600,0.5909,0.5000,0.5000
surrogate,S07,1,0.01,1600,0.5909,0.5088,0.5000
surrogate,S07,1,0.02,1600,0.6212,0.5000,0.5000
surrogate,S07,1,0.035,1600,0.5455,0.5000,0.5000
surrogate,S07,2,0.005,1600,0.5909,0.4912,0.5000
surrogate,S07,2,0.01,1600,0.5909,0.4825,0.5000
surrogate,S07,2,0.02,1600,0.6212,0.5000,0.5000
surrogate,S07,2,0.035,1600,0.5606,0.5351,0.5000
surrogate,S02,0,0.005,1600,0.6296,0.7321,0.7283
surrogate,S02,0,0.01,1600,0.6337,0.7321,0.7283
surrogate,S02,0,0.02,1600,0.6214,0.7245,0.7283
surrogate,S02,0,0.035,1600,0.5926,0.7019,0.7283
surrogate,S02,1,0.005,1600,0.6337,0.7208,0.7283
surrogate,S02,1,0.01,1600,0.6337,0.7283,0.7283
surrogate,S02,1,0.02,1600,0.6337,0.7132,0.7283
surrogate,S02,1,0.035,1600,0.6173,0.6868,0.7283
surrogate,S02,2,0.005,1600,0.6255,0.7283,0.7283
surrogate,S02,2,0.01,1600,0.6255,0.7358,0.7283
surrogate,S02,2,0.02,1600,0.6173,0.7170,0.7283
surrogate,S02,2,0.035,1600,0.5926,0.6906,0.7283
surrogate,S05,0,0.005,1600,0.7099,0.6806,0.6716
surrogate,S05,0,0.01,1600,0.7061,0.6806,0.6716
surrogate,S05,0,0.02,1600,0.6870,0.6478,0.6716
surrogate,S05,0,0.035,1600,0.6183,0.6358,0.6716
surrogate,S05,1,0.005,1600,0.7176,0.6806,0.6716
surrogate,S05,1,0.01,1600,0.7099,0.6716,0.6716
surrogate,S05,1,0.02,1600,0.6756,0.6478,0.6716
surrogate,S05,1,0.035,1600,0.6298,0.6299,0.6716
surrogate,S05,2,0.005,1600,0.7061,0.6716,0.6716
surrogate,S05,2,0.01,1600,0.7023,0.6776,0.6716
surrogate,S05,2,0.02,1600,0.6832,0.6328,0.6716
surrogate,S05,2,0.035,1600,0.5687,0.6060,0.6716
