split_seed,source,subject,seed,vel_mag,n_train,val_acc,test_acc,test_bci
4,sim,S04,0,0.01,1679,0.7087,0.5512,0.5197
4,sim,S04,0,0.02,1679,0.7282,0.5669,0.5197
4,sim,S05,0,0.005,1679,0.6985,0.6806,0.6716
4,sim,S05,0,0.01,1679,0.7023,0.6836,0.6716
4,sim,S05,0,0.02,1679,0.7061,0.6896,0.6716
4,sim,S07,0,0.005,1677,0.6061,0.4825,0.5000
4,sim,S07,0,0.01,1677,0.6061,0.4737,0.5000
4,sim,S07,0,0.02,1677,0.6667,0.4386,0.5000
0,surrogate,S01,0,0.005,1600,0.5825,0.5000,0.5093
0,surrogate,S01,0,0.01,1600,0.5340,0.4537,0.5093
0,surrogate,S01,0,0.02,1600,0.4854,0.4167,0.5093
0,surrogate,S02,0,0.005,1600,0.6296,0.7321,0.7283
0,surrogate,S02,0,0.01,1600,0.6337,0.7321,0.7283
0,surrogate,S02,0,0.02,1600,0.6214,0.7245,0.7283
0,surrogate,S04,0,0.005,1600,0.7476,0.4724,0.5197
0,surrogate,S04,0,0.01,1600,0.6796,0.4409,0.5197
0,surrogate,S04,0,0.02,1600,0.6214,0.4094,0.5197
0,surrogate,S05,0,0.005,1600,0.7099,0.6806,0.6716
0,surrogate,S05,0,0.01,1600,0.7061,0.6806,0.6716
0,surrogate,S05,0,0.02,1600,0.6870,0.6478,0.6716
0,surrogate,S07,0,0.005,1600,0.6061,0.5088,0.5000
0,surrogate,S07,0,0.01,1600,0.6212,0.5000,0.5000
0,surrogate,S07,0,0.02,1600,0.5909,0.4737,0.5000
1,surrogate,S01,0,0.005,1600,0.4757,0.5000,0.5093
1,surrogate,S01,0,0.01,1600,0.5243,0.4537,0.5093
1,surrogate,S01,0,0.02,1600,0.5243,0.4259,0.5093
1,surrogate,S02,0,0.005,1600,0.5885,0.7358,0.7283
1,surrogate,S02,0,0.01,1600,0.5885,0.7434,0.7283
1,surrogate,S02,0,0.02,1600,0.5597,0.7283,0.7283
1,surrogate,S04,0,0.005,1600,0.6602,0.4724,0.5197
1,surrogate,S04,0,0.01,1600,0.6505,0.4567,0.5197
1,surrogate,S04,0,0.02,1600,0.6019,0.4094,0.5197
1,surrogate,S05,0,0.005,1600,0.7023,0.6955,0.6716
1,surrogate,S05,0,0.01,1600,0.7099,0.6836,0.6716
1,surrogate,S05,0,0.02,1600,0.6679,0.6836,0.6716
1,surrogate,S07,0,0.005,1600,0.6061,0.4825,0.5000
1,surrogate,S07,0,0.01,1600,0.6364,0.5088,0.5000
1,surrogate,S07,0,0.02,1600,0.6364,0.5351,0.5000
2,surrogate,S01,0,0.005,1600,0.4660,0.5000,0.5093
2,surrogate,S01,0,0.01,1600,0.4757,0.4722,0.5093
2,surrogate,S01,0,0.02,1600,0.4563,0.4630,0.5093
2,surrogate,S02,0,0.005,1600,0.6008,0.7358,0.7283
2,surrogate,S02,0,0.01,1600,0.6049,0.7396,0.7283
2,surrogate,S02,0,0.02,1600,0.5761,0.7283,0.7283
2,surrogate,S04,0,0.005,1600,0.6796,0.4803,0.5197
2,surrogate,S04,0,0.01,1600,0.6311,0.4409,0.5197
2,surrogate,S04,0,0.02,1600,0.5728,0.3937,0.5197
2,surrogate,S05,0,0.005,1600,0.6069,0.6776,0.6716
2,surrogate,S05,0,0.01,1600,0.6107,0.6776,0.6716
2,surrogate,S05,0,0.02,1600,0.6260,0.6537,0.6716
2,surrogate,S07,0,0.005,1600,0.6667,0.5000,0.5000
2,surrogate,S07,0,0.01,1600,0.6667,0.5000,0.5000
2,surrogate,S07,0,0.02,1600,0.6667,0.5526,0.5000
3,surrogate,S01,0,0.005,1600,0.4563,0.5000,0.5093
3,surrogate,S01,0,0.01,1600,0.4660,0.4537,0.5093
3,surrogate,S01,0,0.02,1600,0.4466,0.4167,0.5093
3,surrogate,S02,0,0.005,1600,0.6379,0.7472,0.7283
3,surrogate,S02,0,0.01,1600,0.6296,0.7434,0.7283
3,surrogate,S02,0,0.02,1600,0.6008,0.7321,0.7283
3,surrogate,S04,0,0.005,1600,0.6311,0.4961,0.5197
3,surrogate,S04,0,0.01,1600,0.6311,0.4409,0.5197
3,surrogate,S04,0,0.02,1600,0.5146,0.4173,0.5197
3,surrogate,S05,0,0.005,1600,0.6374,0.6836,0.6716
3,surrogate,S05,0,0.01,1600,0.6412,0.6716,0.6716
3,surrogate,S05,0,0.02,1600,0.6412,0.6896,0.6716
3,surrogate,S07,0,0.005,1600,0.6364,0.4912,0.5000
3,surrogate,S07,0,0.01,1600,0.5909,0.4912,0.5000
3,surrogate,S07,0,0.02,1600,0.5606,0.5351,0.5000
4,surrogate,S01,0,0.005,1600,0.5340,0.5000,0.5093
4,surrogate,S01,0,0.01,1600,0.5340,0.4352,0.5093
4,surrogate,S01,0,0.02,1600,0.5146,0.4167,0.5093
4,surrogate,S02,0,0.005,1600,0.6173,0.7358,0.7283
4,surrogate,S02,0,0.01,1600,0.6173,0.7472,0.7283
4,surrogate,S02,0,0.02,1600,0.6008,0.7396,0.7283
4,surrogate,S04,0,0.005,1600,0.7379,0.4803,0.5197
4,surrogate,S04,0,0.01,1600,0.7087,0.4331,0.5197
4,surrogate,S04,0,0.02,1600,0.5728,0.3701,0.5197
4,surrogate,S05,0,0.005,1600,0.6985,0.6896,0.6716
4,surrogate,S05,0,0.01,1600,0.6947,0.6806,0.6716
4,surrogate,S05,0,0.02,1600,0.6794,0.6866,0.6716
4,surrogate,S07,0,0.005,1600,0.6212,0.5000,0.5000
4,surrogate,S07,0,0.01,1600,0.6364,0.5000,0.5000
4,surrogate,S07,0,0.02,1600,0.6364,0.5000,0.5000
1,real,S05,0,0.01,1153,0.7099,0.6836,0.6716
1,real,S05,0,0.02,1153,0.7176,0.6866,0.6716
1,real,S07,0,0.005,265,0.6212,0.4912,0.5000
1,real,S07,0,0.01,265,0.6061,0.5000,0.5000
1,real,S07,0,0.02,265,0.6061,0.5088,0.5000
1,sim,S07,0,0.005,1677,0.6364,0.4825,0.5000
1,sim,S07,0,0.01,1677,0.5758,0.4737,0.5000
1,sim,S07,0,0.02,1677,0.5455,0.4386,0.5000
